,alias,dateCreate,productID,shopID,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD,soldPerViewRatio,productRevenue
2338,zella-puff-sleeve-shell-top-sunflower,2021-05-04T02:48:31+07:00,1821916553,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/zella-puff-sleeve-shell-top-sunflower,False,0,False,False,False,26309929,Tops,https://www.tokopedia.com/lovebonitoid/etalase/tops,1771,Blouse Wanita,Blouse Wanita,https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/blouse-wanita,False,False,0,"['1758', '1768', '1771']","['Fashion Wanita', 'Atasan Wanita', 'Blouse Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/blouse-wanita']",3,0,3,3,3,306,2,0,3.5,Zella Puff Sleeve Shell Top - Sunflower,479000,IDR,True,0,True,True,0.00980392156862745,1437000
2339,skyvia-ruched-panelled-dress-in-spring-medley-white,2021-05-04T01:18:01+07:00,1821785349,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/skyvia-ruched-panelled-dress-in-spring-medley-white,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1763,Mini Dress,Mini Dress,https://www.tokopedia.com/p/fashion-wanita/dress/mini-dress,False,False,0,"['1758', '1762', '1763']","['Fashion Wanita', 'Dress', 'Mini Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/mini-dress']",2,0,2,2,2,519,1,0,5.0,Skyvia Ruched Panelled Dress in Spring Medley - White,619000,IDR,True,0,True,True,0.0038535645472061657,1238000
2340,sidra-belted-jersey-dress-beige,2021-05-04T01:02:38+07:00,1821765246,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/sidra-belted-jersey-dress-beige,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1763,Mini Dress,Mini Dress,https://www.tokopedia.com/p/fashion-wanita/dress/mini-dress,False,False,0,"['1758', '1762', '1763']","['Fashion Wanita', 'Dress', 'Mini Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/mini-dress']",2,0,2,2,2,782,0,0,0.0,Sidra Belted Jersey Dress - Beige,579000,IDR,True,0,True,True,0.0025575447570332483,1158000
2341,julio-high-low-hem-blouse-white,2021-05-03T17:34:21+07:00,1820735215,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/julio-high-low-hem-blouse-white,False,0,False,False,False,26309929,Tops,https://www.tokopedia.com/lovebonitoid/etalase/tops,1771,Blouse Wanita,Blouse Wanita,https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/blouse-wanita,False,False,0,"['1758', '1768', '1771']","['Fashion Wanita', 'Atasan Wanita', 'Blouse Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/blouse-wanita']",7,0,7,8,7,773,4,0,5.0,Julio High Low Hem Blouse - White,419000,IDR,True,0,True,True,0.009055627425614488,2933000
2342,elkie-palazzo-pants-brown,2021-05-03T16:43:18+07:00,1820625498,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/elkie-palazzo-pants-brown,False,0,False,False,False,26313179,Bottoms,https://www.tokopedia.com/lovebonitoid/etalase/bottoms,3006,Celana Panjang Wanita,Celana Panjang Wanita,https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-panjang-wanita,False,False,0,"['1758', '2993', '3006']","['Fashion Wanita', 'Bawahan Wanita', 'Celana Panjang Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-panjang-wanita']",2,0,2,2,2,1049,2,0,5.0,Elkie Palazzo Pants - Brown,599000,IDR,True,0,True,True,0.0019065776930409914,1198000
2343,lianna-contrast-column-midaxi-dress-sand,2021-05-03T16:26:27+07:00,1820594566,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/lianna-contrast-column-midaxi-dress-sand,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",7,0,7,7,7,1122,2,0,5.0,Lianna Contrast Column Midaxi Dress - Sand,649000,IDR,True,0,True,True,0.006238859180035651,4543000
2344,lianna-contrast-column-midaxi-dress-emerald,2021-05-03T06:48:49+07:00,1819789075,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/lianna-contrast-column-midaxi-dress-emerald,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",8,0,8,8,8,1313,3,0,5.0,Lianna Contrast Column Midaxi Dress - Emerald,649000,IDR,True,0,True,True,0.006092916984006093,5192000
2345,bevy-padded-cross-back-lace-midi-dress-aquamarine,2021-05-03T06:34:42+07:00,1819761783,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/bevy-padded-cross-back-lace-midi-dress-aquamarine,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",8,0,8,8,8,1312,5,1,4.6,Bevy Padded Cross Back Lace Midi Dress -Aquamarine,849000,IDR,True,0,True,True,0.006097560975609756,6792000
2346,avia-belted-tailored-vest-brown,2021-05-03T06:19:36+07:00,1819733948,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/avia-belted-tailored-vest-brown,False,0,False,False,False,26313242,Outerwear,https://www.tokopedia.com/lovebonitoid/etalase/outerwear,1815,Vest Wanita,Vest Wanita,https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/vest-wanita,False,False,0,"['1758', '1796', '1815']","['Fashion Wanita', 'Outerwear Wanita', 'Vest Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/vest-wanita']",3,0,3,3,3,475,2,0,5.0,Avia Belted Tailored Vest - Brown,619000,IDR,True,0,True,True,0.00631578947368421,1857000
2347,waleria-a-line-midi-dress-khaki,2021-05-03T06:06:39+07:00,1819707693,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/waleria-a-line-midi-dress-khaki,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",1,0,1,1,1,116,0,0,0.0,Waleria A-line Midi Dress - Khaki,619000,IDR,True,0,True,True,0.008620689655172414,619000
